id,imdb_id,popularity,title,cast,genres,cast_orig,genres_orig,combined
135397,tt0369610,32.985763,jurassic world,Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick Robinson,Action Adventure Science Fiction Thriller,"Chris Pratt,Bryce Dallas Howard,Irrfan Khan,Vincent D'Onofrio,Nick Robinson","Action,Adventure,Science Fiction,Thriller",Action Adventure Science Fiction Thriller Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick Robinson
76341,tt1392190,28.419936,mad max: fury road,Tom Hardy Charlize Theron Hugh Keays-Byrne Nicholas Hoult Josh Helman,Action Adventure Science Fiction Thriller,"Tom Hardy,Charlize Theron,Hugh Keays-Byrne,Nicholas Hoult,Josh Helman","Action,Adventure,Science Fiction,Thriller",Action Adventure Science Fiction Thriller Tom Hardy Charlize Theron Hugh Keays-Byrne Nicholas Hoult Josh Helman
262500,tt2908446,13.112507,insurgent,Shailene Woodley Theo James Kate Winslet Ansel Elgort Miles Teller,Adventure Science Fiction Thriller,"Shailene Woodley,Theo James,Kate Winslet,Ansel Elgort,Miles Teller","Adventure,Science Fiction,Thriller",Adventure Science Fiction Thriller Shailene Woodley Theo James Kate Winslet Ansel Elgort Miles Teller
140607,tt2488496,11.173104,star wars: the force awakens,Harrison Ford Mark Hamill Carrie Fisher Adam Driver Daisy Ridley,Action Adventure Science Fiction Fantasy,"Harrison Ford,Mark Hamill,Carrie Fisher,Adam Driver,Daisy Ridley","Action,Adventure,Science Fiction,Fantasy",Action Adventure Science Fiction Fantasy Harrison Ford Mark Hamill Carrie Fisher Adam Driver Daisy Ridley
168259,tt2820852,9.335014,furious 7,Vin Diesel Paul Walker Jason Statham Michelle Rodriguez Dwayne Johnson,Action Crime Thriller,"Vin Diesel,Paul Walker,Jason Statham,Michelle Rodriguez,Dwayne Johnson","Action,Crime,Thriller",Action Crime Thriller Vin Diesel Paul Walker Jason Statham Michelle Rodriguez Dwayne Johnson
281957,tt1663202,9.1107,the revenant,Leonardo DiCaprio Tom Hardy Will Poulter Domhnall Gleeson Paul Anderson,Western Drama Adventure Thriller,"Leonardo DiCaprio,Tom Hardy,Will Poulter,Domhnall Gleeson,Paul Anderson","Western,Drama,Adventure,Thriller",Western Drama Adventure Thriller Leonardo DiCaprio Tom Hardy Will Poulter Domhnall Gleeson Paul Anderson
87101,tt1340138,8.654359,terminator genisys,Arnold Schwarzenegger Jason Clarke Emilia Clarke Jai Courtney J.K. Simmons,Science Fiction Action Thriller Adventure,"Arnold Schwarzenegger,Jason Clarke,Emilia Clarke,Jai Courtney,J.K. Simmons","Science Fiction,Action,Thriller,Adventure",Science Fiction Action Thriller Adventure Arnold Schwarzenegger Jason Clarke Emilia Clarke Jai Courtney J.K. Simmons
286217,tt3659388,7.6674,the martian,Matt Damon Jessica Chastain Kristen Wiig Jeff Daniels Michael PeÃ±a,Drama Adventure Science Fiction,"Matt Damon,Jessica Chastain,Kristen Wiig,Jeff Daniels,Michael PeÃ±a","Drama,Adventure,Science Fiction",Drama Adventure Science Fiction Matt Damon Jessica Chastain Kristen Wiig Jeff Daniels Michael PeÃ±a
211672,tt2293640,7.404165,minions,Sandra Bullock Jon Hamm Michael Keaton Allison Janney Steve Coogan,Family Animation Adventure Comedy,"Sandra Bullock,Jon Hamm,Michael Keaton,Allison Janney,Steve Coogan","Family,Animation,Adventure,Comedy",Family Animation Adventure Comedy Sandra Bullock Jon Hamm Michael Keaton Allison Janney Steve Coogan
150540,tt2096673,6.326804,inside out,Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black,Comedy Animation Family,"Amy Poehler,Phyllis Smith,Richard Kind,Bill Hader,Lewis Black","Comedy,Animation,Family",Comedy Animation Family Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black
206647,tt2379713,6.200282,spectre,Daniel Craig Christoph Waltz LÃ©a Seydoux Ralph Fiennes Monica Bellucci,Action Adventure Crime,"Daniel Craig,Christoph Waltz,LÃ©a Seydoux,Ralph Fiennes,Monica Bellucci","Action,Adventure,Crime",Action Adventure Crime Daniel Craig Christoph Waltz LÃ©a Seydoux Ralph Fiennes Monica Bellucci
76757,tt1617661,6.189369,jupiter ascending,Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas Booth,Science Fiction Fantasy Action Adventure,"Mila Kunis,Channing Tatum,Sean Bean,Eddie Redmayne,Douglas Booth","Science Fiction,Fantasy,Action,Adventure",Science Fiction Fantasy Action Adventure Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas Booth
264660,tt0470752,6.118847,ex machina,Domhnall Gleeson Alicia Vikander Oscar Isaac Sonoya Mizuno Corey Johnson,Drama Science Fiction,"Domhnall Gleeson,Alicia Vikander,Oscar Isaac,Sonoya Mizuno,Corey Johnson","Drama,Science Fiction",Drama Science Fiction Domhnall Gleeson Alicia Vikander Oscar Isaac Sonoya Mizuno Corey Johnson
257344,tt2120120,5.984995,pixels,Adam Sandler Michelle Monaghan Peter Dinklage Josh Gad Kevin James,Action Comedy Science Fiction,"Adam Sandler,Michelle Monaghan,Peter Dinklage,Josh Gad,Kevin James","Action,Comedy,Science Fiction",Action Comedy Science Fiction Adam Sandler Michelle Monaghan Peter Dinklage Josh Gad Kevin James
99861,tt2395427,5.944927,avengers: age of ultron,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson,Action Adventure Science Fiction,"Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,Scarlett Johansson","Action,Adventure,Science Fiction",Action Adventure Science Fiction Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson
273248,tt3460252,5.8984,the hateful eight,Samuel L. Jackson Kurt Russell Jennifer Jason Leigh Walton Goggins DemiÃ¡n Bichir,Crime Drama Mystery Western,"Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Walton Goggins,DemiÃ¡n Bichir","Crime,Drama,Mystery,Western",Crime Drama Mystery Western Samuel L. Jackson Kurt Russell Jennifer Jason Leigh Walton Goggins DemiÃ¡n Bichir
260346,tt2446042,5.749758,taken 3,Liam Neeson Forest Whitaker Maggie Grace Famke Janssen Dougray Scott,Crime Action Thriller,"Liam Neeson,Forest Whitaker,Maggie Grace,Famke Janssen,Dougray Scott","Crime,Action,Thriller",Crime Action Thriller Liam Neeson Forest Whitaker Maggie Grace Famke Janssen Dougray Scott
102899,tt0478970,5.573184,ant-man,Paul Rudd Michael Douglas Evangeline Lilly Corey Stoll Bobby Cannavale,Science Fiction Action Adventure,"Paul Rudd,Michael Douglas,Evangeline Lilly,Corey Stoll,Bobby Cannavale","Science Fiction,Action,Adventure",Science Fiction Action Adventure Paul Rudd Michael Douglas Evangeline Lilly Corey Stoll Bobby Cannavale
150689,tt1661199,5.556818,cinderella,Lily James Cate Blanchett Richard Madden Helena Bonham Carter Holliday Grainger,Romance Fantasy Family Drama,"Lily James,Cate Blanchett,Richard Madden,Helena Bonham Carter,Holliday Grainger","Romance,Fantasy,Family,Drama",Romance Fantasy Family Drama Lily James Cate Blanchett Richard Madden Helena Bonham Carter Holliday Grainger
131634,tt1951266,5.476958,the hunger games: mockingjay - part 2,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,War Adventure Science Fiction,"Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Elizabeth Banks","War,Adventure,Science Fiction",War Adventure Science Fiction Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks
158852,tt1964418,5.462138,tomorrowland,Britt Robertson George Clooney Raffey Cassidy Thomas Robinson Hugh Laurie,Action Family Science Fiction Adventure Mystery,"Britt Robertson,George Clooney,Raffey Cassidy,Thomas Robinson,Hugh Laurie","Action,Family,Science Fiction,Adventure,Mystery",Action Family Science Fiction Adventure Mystery Britt Robertson George Clooney Raffey Cassidy Thomas Robinson Hugh Laurie
307081,tt1798684,5.337064,southpaw,Jake Gyllenhaal Rachel McAdams Forest Whitaker Oona Laurence 50 Cent,Action Drama,"Jake Gyllenhaal,Rachel McAdams,Forest Whitaker,Oona Laurence,50 Cent","Action,Drama",Action Drama Jake Gyllenhaal Rachel McAdams Forest Whitaker Oona Laurence 50 Cent
254128,tt2126355,4.907832,san andreas,Dwayne Johnson Alexandra Daddario Carla Gugino Ioan Gruffudd Archie Panjabi,Action Drama Thriller,"Dwayne Johnson,Alexandra Daddario,Carla Gugino,Ioan Gruffudd,Archie Panjabi","Action,Drama,Thriller",Action Drama Thriller Dwayne Johnson Alexandra Daddario Carla Gugino Ioan Gruffudd Archie Panjabi
216015,tt2322441,4.710402,fifty shades of grey,Dakota Johnson Jamie Dornan Jennifer Ehle Eloise Mumford Victor Rasuk,Drama Romance,"Dakota Johnson,Jamie Dornan,Jennifer Ehle,Eloise Mumford,Victor Rasuk","Drama,Romance",Drama Romance Dakota Johnson Jamie Dornan Jennifer Ehle Eloise Mumford Victor Rasuk
318846,tt1596363,4.648046,the big short,Christian Bale Steve Carell Ryan Gosling Brad Pitt Melissa Leo,Comedy Drama,"Christian Bale,Steve Carell,Ryan Gosling,Brad Pitt,Melissa Leo","Comedy,Drama",Comedy Drama Christian Bale Steve Carell Ryan Gosling Brad Pitt Melissa Leo
177677,tt2381249,4.566713,mission: impossible - rogue nation,Tom Cruise Jeremy Renner Simon Pegg Rebecca Ferguson Ving Rhames,Action,"Tom Cruise,Jeremy Renner,Simon Pegg,Rebecca Ferguson,Ving Rhames",Action,Action Tom Cruise Jeremy Renner Simon Pegg Rebecca Ferguson Ving Rhames
214756,tt2637276,4.564549,ted 2,Mark Wahlberg Seth MacFarlane Amanda Seyfried Jessica Barth Giovanni Ribisi,Comedy,"Mark Wahlberg,Seth MacFarlane,Amanda Seyfried,Jessica Barth,Giovanni Ribisi",Comedy,Comedy Mark Wahlberg Seth MacFarlane Amanda Seyfried Jessica Barth Giovanni Ribisi
207703,tt2802144,4.503789,kingsman: the secret service,Taron Egerton Colin Firth Samuel L. Jackson Michael Caine Mark Strong,Crime Comedy Action Adventure,"Taron Egerton,Colin Firth,Samuel L. Jackson,Michael Caine,Mark Strong","Crime,Comedy,Action,Adventure",Crime Comedy Action Adventure Taron Egerton Colin Firth Samuel L. Jackson Michael Caine Mark Strong
314365,tt1895587,4.062293,spotlight,Mark Ruffalo Michael Keaton Rachel McAdams Liev Schreiber John Slattery,Drama Thriller History,"Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber,John Slattery","Drama,Thriller,History",Drama Thriller History Mark Ruffalo Michael Keaton Rachel McAdams Liev Schreiber John Slattery
294254,tt4046784,3.968891,maze runner: the scorch trials,Dylan O'Brien Kaya Scodelario Thomas Brodie-Sangster Giancarlo Esposito Aidan Gillen,Action Science Fiction Thriller,"Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Giancarlo Esposito,Aidan Gillen","Action,Science Fiction,Thriller",Action Science Fiction Thriller Dylan O'Brien Kaya Scodelario Thomas Brodie-Sangster Giancarlo Esposito Aidan Gillen
